# Wordlist

# DATA
ID	CONCEPT_ID	CONCEPT	DOCULECT_ID	DOCULECT	FAMILY	REGION	VALUE	ALIGNMENT	COGNATE_SET	SOURCE	SEGMENTS
8443	203.0	1sg	kaer1234-o	Kaera-Abangiwang (Orthographic)	Timor-Alor-Pantar	Pantar	naŋ		nan		n a ŋ
8444	203.0	1sg	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	Pantar	nang		1		n a n g
8445	203.0	1sg	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	Pantar	naɁan; na		1		n a ʔ a n
8446	203.0	1sg	buna1278	Bunak (Orthographic)	Timor-Alor-Pantar	Timor	ene		nan		e n e
8447	203.0	1sg	buna1278-malia	Bunaq-Maliana	Timor-Alor-Pantar	Timor	'nɛtɔ		nan		ˈn ɛ t ɔ
8448	203.0	1sg	p-alor1249	proto-AP	Timor-Alor-Pantar		*na-		nan		n a
8449	203.0	1sg	p-east2519	proto-TIM	Timor-Alor-Pantar		*n-		nan		n
8450	203.0	1sg	p-timo1261	proto-TAP	Timor-Alor-Pantar		*na-		nan		n a
16146	203.0	1sg	kula1280	Kula	Timor-Alor-Pantar	Alor	ŋən		nan		ŋ ə n
16746	203.0	1sg	wers1238	Wersing	Timor-Alor-Pantar	Timor	nadi		nan		n a d i
17338	203.0	1sg	sout2896-lerek	Lerek Lamaholot	Austronesian	Lembata	ɡɔn	nan	nan	nan	ɡ ɔ n
17909	203.0	1sg	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	Timor	nɛtɔ		nan		n ɛ t ɔ
18494	203.0	1sg	pura1258	Blagar-Pura	Timor-Alor-Pantar	Pura	naiŋ		nan		n a i ŋ
19505	203.0	1sg	tetu1245-suai	Tetun Terik-Suai 	Austronesian	Timor	haɁu		nan		h a ʔ u
19987	203.0	1sg	alor1247-baran	Alorese-Baranusa	Austronesian	Pantar	go:	nan	nan	nan	g oː
20292	203.0	1sg	kema1243	Kemak	Austronesian	Timor	'ʔɑu		nan		ˈʔ ɑ u
20686	203.0	1sg	fata1247	Fataluku	Timor-Alor-Pantar	Timor	a'niri		nan		a ˈn i r i
21287	203.0	1sg	sawi1256	Sawila	Timor-Alor-Pantar	Alor	nanu		nan		n a n u
21874	203.0	1sg	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	Timor	haɁu		nan		h a ʔ u
22488	203.0	1sg	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	ka		nan		k a
22489	203.0	1sg	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	ɡo		nan		ɡ o
22490	203.0	1sg	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	ɡone		nan		ɡ o n e
23362	203.0	1sg	mamb1306	Mambai	Austronesian	Timor	'ʔau		nan		ˈʔ a u
23635	203.0	1sg	laka1255	Lakalei 	Austronesian	Timor	'ʔɑu		nan		ˈʔ ɑ u
24034	203.0	1sg	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	ka		nan		k a
24035	203.0	1sg	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	ɡo		nan		ɡ o
24036	203.0	1sg	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	ɡone		nan		ɡ o n e
24894	203.0	1sg	abui1241-takal	Abui-Takalelang	Timor-Alor-Pantar	Alor	'ne̞̞.dɔ		nan		ˈn e̞̞ d ɔ
24895	203.0	1sg	abui1241-takal-o	Abui-Takalelang (Orthographic)	Timor-Alor-Pantar	Alor	Nedo		nan		N e d o
25911	203.0	1sg	buna1278-bobon	Bunak-Bobonaro	Timor-Alor-Pantar	Timor	nɛtɔ		1		n ɛ t ɔ
26494	203.0	1sg	keda1252	Kedang	Austronesian	Lembata	ɛʔi		c		ɛ ʔ i
26978	203.0	1sg	tetu1246	Tetun Dili 	Austronesian	Timor	hɑu		nan		h ɑ u
27246	203.0	1sg	idat1237	Idate	Austronesian	Timor	'ʔɑu		nan		ˈʔ ɑ u
27614	203.0	1sg	adon1237	Lamaholot-Adonara	Austronesian	Adonara	ˈɡoʔɛ		b		ˈɡ o ʔ ɛ
28199	203.0	1sg	maka1316	Makasae	Timor-Alor-Pantar	Timor	ani		nan		a n i
#
204	209.0	2pl	keda1252	Kedang	Austronesian	Lembata	meː		a		m eː
791	209.0	2pl	kelo1247	Klon	Timor-Alor-Pantar	Alor	egin		nan		e g i n
1423	209.0	2pl	cent2245-hewa	Hewa	Austronesian	Flores	miu		nan		m i u
1949	209.0	2pl	tuku1254	Tokodede	Austronesian	Timor	'kimi		nan		ˈk i m i
2328	209.0	2pl	adan1251	Adang	Timor-Alor-Pantar	Alor	iri		1		i r i
2914	209.0	2pl	lama1278	Lamaholot-Lewoingu	Austronesian	Flores	ˈmio		a		ˈm i o
3376	209.0	2pl	sika1262	Sika	Austronesian	Flores	miu (pl)		a		m i u
8491	209.0	2pl	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	Pantar	iŋ		1		i ŋ
8492	209.0	2pl	kaer1234-o	Kaera-Abangiwang (Orthographic)	Timor-Alor-Pantar	Pantar	iŋ		nan		i ŋ
8493	209.0	2pl	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	Pantar	hing		1		h i n g
8494	209.0	2pl	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	Pantar	yiɁin; yi		1		y i ʔ i n
8495	209.0	2pl	buna1278	Bunak (Orthographic)	Timor-Alor-Pantar	Timor	tho		nan		th o
