Feature_ID	Language_ID	Value	English	Language name (-dialect)	Family	Region	Comment	Alignment	Cognate Set	Source	Loan	Reference
376.0	mamb1306	mat	to die	Mambai	Austronesian	4Timor, 2Central		m a - t - - -	97.0			
377.0	mamb1306	'ne:	to give	Mambai	Austronesian	4Timor, 2Central		ˈn eː - -	98.0			
378.0	mamb1306	'das	to wipe	Mambai	Austronesian	4Timor, 2Central		ˈd a s - -	6389.0			
379.0	mamb1306	'ma:	to come	Mambai	Austronesian	4Timor, 2Central		- - - ˈm aː - - -	277.0			
380.0	mamb1306	'gnil	to laugh	Mambai	Austronesian	4Timor, 2Central		ˈg - n i l -	6579.0			
381.0	mamb1306	'sɛro	to cry	Mambai	Austronesian	4Timor, 2Central		ˈs ɛ - - r o	1520.0			
382.0	mamb1306	'hudi	to dance	Mambai	Austronesian	4Timor, 2Central		ˈh u d i	6783.0			
383.0	mamb1306	'lɔka	to sing	Mambai	Austronesian	4Timor, 2Central		ˈl ɔ k a	6745.0			
389.0	mamb1306	'sus	to suck	Mambai	Austronesian	4Timor, 2Central		ˈs u s	6781.0			
390.0	mamb1306	'pua	to blow	Mambai	Austronesian	4Timor, 2Central		ˈp u a - -	27.0			
