ID,Lect_ID,Concept_ID,Form,Segments,Comment,Source
207,kabo1247,grasshopper,sono,s o n o,,datasets_Kabola_Monbang_tsv
208,kabo1247,spider,ke'leleŋ baŋbaŋ,k e l e l e ŋ _ b a ŋ b a ŋ,,datasets_Kabola_Monbang_tsv
209,kabo1247,louse_in_hair,koiɲ,k o i ɲ,,datasets_Kabola_Monbang_tsv
210,kabo1247,louse_eggs,we'riŋ,w e r i ŋ,,datasets_Kabola_Monbang_tsv
211,kabo1247,flea,teme'le,t e m e l e,,datasets_Kabola_Monbang_tsv
212,kabo1247,louse_clothing,weu,w e u,,datasets_Kabola_Monbang_tsv
213,kabo1247,bedbug,təmeʔei,t ə m e ʔ e i,,datasets_Kabola_Monbang_tsv
214,kabo1247,big,motiʔ,m o t i ʔ,,datasets_Kabola_Monbang_tsv
215,kabo1247,small,kaʔai,k a ʔ a i,,datasets_Kabola_Monbang_tsv
216,kabo1247,old_worn_house,lu'wuŋan,l u w u ŋ a n,,datasets_Kabola_Monbang_tsv
217,kabo1247,new,dewewer,d e w e w e r,,datasets_Kabola_Monbang_tsv
218,kabo1247,old_people,temaʔaw,t e m a ʔ a w,(male or female),datasets_Kabola_Monbang_tsv
219,kabo1247,young_people,kowolo,k o w o l o,"kowolo (male), la'wata (female)",datasets_Kabola_Monbang_tsv
220,kabo1247,young_people,la'wata,l a w a t a,"kowolo (male), lawáta (female)",datasets_Kabola_Monbang_tsv
221,kabo1247,lazy,maraiɲ,m a r a i ɲ,"owakariʔiŋ, maraiɲ (very lazy)",datasets_Kabola_Monbang_tsv
222,kabo1247,lazy,owakariʔiŋ,o w a k a r i ʔ i ŋ,"owakariʔiŋ, maraiɲ (very lazy)",datasets_Kabola_Monbang_tsv
223,kabo1247,hot,wer buni,w e r _ b u n i,(wer ‘sun’),datasets_Kabola_Monbang_tsv
224,kabo1247,cold,maʔab,m a ʔ a b,,datasets_Kabola_Monbang_tsv
225,kabo1247,good,noʔo,n o ʔ o,,datasets_Kabola_Monbang_tsv
226,kabo1247,bad,jahaʔ,j a h a ʔ,,datasets_Kabola_Monbang_tsv
227,kabo1247,full,utulu,u t u l u,,datasets_Kabola_Monbang_tsv
228,kabo1247,empty,dokoho,d o k o h o,,datasets_Kabola_Monbang_tsv
229,kabo1247,wet,breʔe,b r e ʔ e,,datasets_Kabola_Monbang_tsv
230,kabo1247,dry,taʔata,t a ʔ a t a,,datasets_Kabola_Monbang_tsv
231,kabo1247,dry_in_sun,wer poilʤ,w e r _ p o i l dʒ,(wer ‘sun’),datasets_Kabola_Monbang_tsv
232,kabo1247,short,la:ma,l aː m a,(for people),datasets_Kabola_Monbang_tsv
233,kabo1247,thin,teʔej,t e ʔ e j,,datasets_Kabola_Monbang_tsv
234,kabo1247,dark,dil kuʔu,d i l _ k u ʔ u,(also ‘night’),datasets_Kabola_Monbang_tsv
235,kabo1247,light_not_dark,di'jele,d i j e l e,,datasets_Kabola_Monbang_tsv
236,kabo1247,dirty,nakaroʔo,n a k a r o ʔ o,,datasets_Kabola_Monbang_tsv
237,kabo1247,clean,mə'duluŋ,m ə d u l u ŋ,,datasets_Kabola_Monbang_tsv
238,kabo1247,sharp,namaŋ,n a m a ŋ,,datasets_Kabola_Monbang_tsv
239,kabo1247,blunt,kumu,k u m u,,datasets_Kabola_Monbang_tsv
240,kabo1247,heavy,tə'rojo,t ə r o j o,,datasets_Kabola_Monbang_tsv
241,kabo1247,light_weight,weleŋ,w e l e ŋ,,datasets_Kabola_Monbang_tsv
242,kabo1247,straight,kə'bulu,k ə b u l u,(also ‘correct’),datasets_Kabola_Monbang_tsv
243,kabo1247,wide,peʔereŋ,p e ʔ e r e ŋ,,datasets_Kabola_Monbang_tsv
244,kabo1247,correct,kabulu,k a b u l u, (also ‘straight’),datasets_Kabola_Monbang_tsv
245,kabo1247,wrong,asala,a s a l a,,datasets_Kabola_Monbang_tsv
246,kabo1247,ripe,tenaŋ,t e n a ŋ,,datasets_Kabola_Monbang_tsv
247,kabo1247,rotten,bo:ni,b oː n i,,datasets_Kabola_Monbang_tsv
248,kabo1247,bitter,maʔala,m a ʔ a l a,(also ‘salty’ and ‘sick’?),datasets_Kabola_Monbang_tsv
249,kabo1247,sweet,de'leweŋ,d e l e w e ŋ,,datasets_Kabola_Monbang_tsv
250,kabo1247,sour,alsuŋ,a l s u ŋ,,datasets_Kabola_Monbang_tsv
251,kabo1247,sour,lusuŋ,l u s u ŋ,,datasets_Kabola_Monbang_tsv
252,kabo1247,salty,maʔala,m a ʔ a l a,,datasets_Kabola_Monbang_tsv
253,kabo1247,flat,sə'loj,s ə l o j,,datasets_Kabola_Monbang_tsv
254,kabo1247,smooth,dulu,d u l u,(slippery),datasets_Kabola_Monbang_tsv
255,kabo1247,black,laʔana,l a ʔ a n a,,datasets_Kabola_Monbang_tsv
256,kabo1247,white,wele,w e l e,,datasets_Kabola_Monbang_tsv
257,kabo1247,red,tene,t e n e,,datasets_Kabola_Monbang_tsv
258,kabo1247,green,molmol,m o l m o l,,datasets_Kabola_Monbang_tsv
259,kabo1247,yellow,baʔoil,b a ʔ o i l,,datasets_Kabola_Monbang_tsv
260,kabo1247,sick_painful,ma'rori,m a r o r i,"maʔala (same as ‘salty, bitter’)",datasets_Kabola_Monbang_tsv
261,kabo1247,sick_painful,maʔala,m a ʔ a l a,"maʔala (same as ‘salty, bitter’)",datasets_Kabola_Monbang_tsv
262,kabo1247,shy_ashamed,malaʔ,m a l a ʔ,,datasets_Kabola_Monbang_tsv
